symbol,as_of,weight,debt_ratio,cash_ratio,receivables_ratio,near,gap_to_limit
AMGN,2023-06-30,0.008109150238772197,0.2939879955896979,0.09416052843698522,0.13794312787654964,debt,0.006012004410302085
GILD,2023-06-30,0.006573456506244303,0.2841874403546566,0.07191981001444639,0.12572731705266257,debt,0.015812559645343394
RSG,2023-06-30,0.003321884587728754,0.2819495850220194,0.003430619871211029,0.04355499677494281,debt,0.0180504149779806
AMGN,2023-07-31,0.008272732705846195,0.2947691584322654,0.094410724727837,0.13830966000541617,debt,0.005230841567734568
GILD,2023-07-31,0.00628192731421037,0.2828156470060567,0.07157264788480666,0.12512042219110603,debt,0.017184352993943275
AMGN,2023-08-31,0.009257640831522956,0.2932633367354507,0.093928429638136,0.13760310818017465,debt,0.006736663264549303
GILD,2023-08-31,0.006449960403039669,0.28158607020479837,0.07126147674425833,0.12457644532802058,debt,0.018413929795201622
AMGN,2023-09-30,0.010013468663632057,0.29105958577227575,0.09322259688867342,0.13656907854127207,debt,0.008940414227724236
GILD,2023-09-30,0.006520168123520098,0.2808980795429473,0.07108736575036538,0.1242720714965667,debt,0.019101920457052668
AMGN,2023-10-31,0.00995112072130348,0.28766373600364803,0.0921349504081931,0.13497570008395188,debt,0.01233626399635196
CRWD,2023-10-31,0.0007508678775606386,0.07740975648122686,0.28261881563803243,0.3480333792687382,cash,0.01738118436196756
AMGN,2023-11-30,0.009734117032852495,0.2847750260110885,0.09120973419705153,0.13362027844130075,debt,0.015224973988911483
NSC,2023-11-30,0.0033637714061115587,0.2821979103764739,0.008475974649695172,0.029814612583576875,debt,0.017802089623526085
CRWD,2023-11-30,0.0009338044374636172,0.07855383515904592,0.28679578473882483,0.3531771439114708,cash,0.013204215261175156
AMGN,2023-12-31,0.00993367113634764,0.28197046249223207,0.0903114690061858,0.13230433945765785,debt,0.018029537507767923
NSC,2023-12-31,0.0034820660663583526,0.28487875446220107,0.008556495325699097,0.03009784759302928,debt,0.015121245537798922
CRWD,2023-12-31,0.000961137844649907,0.07767921822740564,0.28360260583485697,0.34924487619586003,cash,0.01639739416514302
FISV,2024-01-31,0.005871999514463119,0.29921709871126956,0.012601261697523819,0.06268499028468888,debt,0.000782901288730431
NSC,2024-01-31,0.00342751241121824,0.28763094505639397,0.008639158934640736,0.030388620463078376,debt,0.012369054943606017
BMY,2024-02-29,0.007571749593796468,0.2874943342224071,0.08286822507104684,0.14707230524210738,debt,0.012505665777592878
CSX,2024-02-29,0.005333651694978091,0.28723386097758924,0.02294674961690226,0.04520637511574965,debt,0.01276613902241075
MMM,2024-02-29,0.0030558601560216185,0.2997268421843046,0.11226438504265254,0.2010515693504447,debt,0.00027315781569536846
BMY,2024-03-31,0.007986997040054483,0.29056632185603537,0.08375370395649173,0.1486438294398797,debt,0.009433678143964619
CSX,2024-03-31,0.005144387205274079,0.2866705053031125,0.022901743845077583,0.0451177112379697,debt,0.01332949469688749
APP,2024-03-31,0.0016674935707830818,0.29803049319841574,0.047952936814044014,0.13903689279271844,debt,0.001969506801584253
NVDA,2024-04-30,0.015848276013524926,0.10918955010296305,0.2922217808090835,0.40467273471571935,cash,0.00777821919091648
BMY,2024-04-30,0.006797091360814629,0.29586568898496435,0.08528120935642239,0.15135480509122207,debt,0.004134311015035641
CSX,2024-04-30,0.004842056544053744,0.2866979697483683,0.022903937944848785,0.045122033736752935,debt,0.01330203025163168
APP,2024-04-30,0.0017855492215192938,0.2880557158150983,0.046348000807452466,0.1343834694507243,debt,0.011944284184901677
CSX,2024-05-31,0.004825470525789414,0.28632462091328476,0.022874111578941692,0.045063274134279976,debt,0.013675379086715234
CSX,2024-06-30,0.004599695733726641,0.28538453208411446,0.02279900907219963,0.044915318012014455,debt,0.014615467915885527
