symbol,ex_date,weight,price,dividend,impure_ratio,purification_amount,nav_frac,covered
AMAT,2020-08-19,0.007542689063613184,62.67013168334961,0.22,,,,False
MCO,2020-08-19,0.006898940280365845,267.82025146484375,0.56,0.003520397597846345,0.0019714226547939535,5.078304231436777e-08,True
MSFT,2020-08-19,0.1,199.4248809814453,0.51,,,,False
RMD,2020-08-19,0.0037237786869043464,174.02330017089844,0.39,0.0008819918667996624,0.00034397682805186835,7.36047172896167e-09,True
HSY,2020-08-20,0.00388689816260616,127.62398529052734,0.804,0.0010013458127792613,0.0008050820334745261,2.451946528339318e-08,True
MMM,2020-08-21,0.009262822253274966,109.94197845458984,1.229097,0.0024894199651481204,0.0030597386109036595,2.577888381914946e-07,True
JNJ,2020-08-24,0.05008256486110903,129.0175323486328,1.01,0.00435052827843381,0.004394033561218148,1.70569431011079e-06,True
NDSN,2020-08-24,0.001427618960674735,176.03659057617188,0.39,0.0008403874532523086,0.00032775110676840037,2.657991119194243e-09,True
SPGI,2020-08-25,0.010349279977147883,322.4845275878906,0.633869,,,,False
ADI,2020-08-27,0.005419914265142787,107.64148712158203,0.62,0.0017073759006119946,0.0010585730583794366,5.3300779961597145e-08,True
CBOE,2020-08-27,0.0012434689836625912,85.62821197509766,0.42,0.0007611874524257842,0.00031969873001882934,4.6425756853400825e-09,True
FDS,2020-08-28,0.0016913662862608522,331.19305419921875,0.77,,,,False
UNP,2020-08-28,0.015372695670247401,171.06362915039062,0.97,0.0014741109268472453,0.0014298875990418278,1.28497372655446e-07,True
EBAY,2020-08-31,0.005263931583942936,49.58816909790039,0.16,0.011111111111111112,0.0017777777777777779,1.8871639675183252e-07,True
MCD,2020-08-31,0.019715980523800736,185.71551513671875,1.25,,,,False
QCOM,2020-09-02,0.016462371297338234,108.43221282958984,0.65,0.013018580315576978,0.008462077205125035,1.284727603193353e-06,True
TER,2020-09-02,0.0017069476230044758,86.42052459716797,0.1,0.037859925150843965,0.0037859925150843968,7.477958453110137e-08,True
JKHY,2020-09-08,0.001536319259256426,146.8665313720703,0.43,0.0006699794410002669,0.00028809115963011477,3.013620549395178e-09,True
CME,2020-09-09,0.007605710060789623,131.941650390625,0.85,,,,False
GPN,2020-09-09,0.006401219587153588,160.1854248046875,0.195,0.0063952953362981105,0.0012470825905781316,4.983505531380514e-08,True
NEM,2020-09-09,0.00656254789130521,57.45608901977539,0.25,0.005852156057494866,0.0014630390143737166,1.6710611116205452e-07,True
AME,2020-09-11,0.0027850288390218513,96.1198501586914,0.18,,,,False
GILD,2020-09-14,0.010201408199710466,53.18264389038086,0.68,,,,False
GRMN,2020-09-14,0.002385039824009403,87.93278503417969,0.61,0.014084477589468262,0.00859153132957564,2.33031904565486e-07,True
KO,2020-09-14,0.025794291776490372,42.464012145996094,0.41,0.015107604787205495,0.006194117962754253,3.7625480484502033e-06,True
MRK,2020-09-14,0.025341354625037615,66.60630798339844,0.582061,0.005849701110162255,0.0034048828778821525,1.295438030984041e-06,True
MSI,2020-09-14,0.0031851522110789903,144.97967529296875,0.64,,,,False
NXPI,2020-09-14,0.004340587852473486,113.42924499511719,0.375,,,,False
TMO,2020-09-14,0.020869750267614402,427.05841064453125,0.22,0.008769869234985513,0.001929371231696813,9.428568733317304e-08,True
TROW,2020-09-14,0.0039528357797753945,97.81739807128906,0.9,,,,False
VRSK,2020-09-14,0.0036767790541425995,177.59469604492188,0.27,,,,False
ALLE,2020-09-15,0.0011769699523128641,93.20508575439453,0.32,0.0006306937631394534,0.00020182200420462509,2.5485565808108767e-09,True
ICE,2020-09-15,0.0071044769574120465,93.06525421142578,0.3,,,,False
MDT,2020-09-24,0.01739864316414047,85.2947006225586,0.58,,,,False
